Vietnamese, Bahnar
"“Bây giờ, Ta lập giao ước với các con và dòng dõi mai sau của các con",“Gah Inh âu: Inh pơjing tơdrong pơgơ̆p pơkă pơkăm hăm lu iĕm păng lu adrĕch adrung lu iĕm
"và với mọi loài sinh vật ở với các con, với loài chim, loài súc vật, loài dã thú trên đất, với tất cả các loài vật đã ra khỏi tàu, tức là mọi loài vật trên đất","Păng lu kon sem mă oei arih hơdai iĕm, lu sem păr, mă lu sem dơrong, lu sem bri oei kơpal teh, wă khan đĭ lu kon sem brem mă 'nao lĕch đơ̆ng duk mă truh tơ kon sem brem oei kơpal teh"
"Ta lập giao ước Ta với các con, mọi loài sinh vật sẽ không bị nước lụt trừ diệt nữa, sẽ chẳng bao giờ có nước lụt tiêu hủy mặt đất nữa","Thoi noh Inh pơjing tơdrong pơgơ̆p hăm lu iĕm păng đĭ-đăng lu kon sem, ưh pă đei layơ đak wă lơ̆p pơlôch dơ̆ng păng kư̆m pă đei khan wă lơ̆p pơrăm teh"
"Đức Chúa Trời phán: “Đây là dấu hiệu về giao ước Ta lập giữa Ta với các con và mọi sinh vật ở với các con, cho đến các thế hệ mãi về sau","Kră Yang 'Bok Kei-Dei khan dơ̆ng: “Âu boih tơdrong, tơdra gah tơdrong pơgơ̆p mă inh pơkă hăm lu iĕm păng đĭ-đăng lu tơmam arih oei hăm lu iĕm rim jơhnơr dĭng truh ning-mônh"
"Ta đặt cầu vồng của Ta trên mây, nó sẽ là dấu hiệu về giao ước giữa Ta và địa cầu",Inh ăn plĕnh chro tơ hơmơ̆l wă pơm tơdra pơgơ̆p inh hăm teh
"Khi nào Ta gom góp mây trên đất, và cầu vồng hiện ra trong mây",Mưh layơ Inh akŭm đĭ lu hơmơ̆l kơpal teh păng đei plĕnh chroa tơ hơmơ̆l noh
"thì Ta sẽ nhớ lại giao ước Ta đã lập cùng các con và cùng mọi loài sinh vật, và nước sẽ chẳng trở thành hồng thủy tiêu diệt mọi sự sống nữa",Na Inh gô 'blŏk tơdrong Inh đei pơgơ̆p boih hăm lu iĕm păng lu kon sem mă đei tơdrong arih na đak ưh kơ đei layơ wă lơ̆p pơrăm pơlôch đĭ dơ̆ng
"Khi cầu vồng mọc trên mây, Ta sẽ thấy nó mà nhớ lại giao ước đời đời giữa Ta và mọi sinh vật sống trên mặt đất",Thoi noh plĕnh chro gô tơ'bôh tơ hơmơ̆l Inh lăng tơ noh 'blŏk âu boih tơdrong pơgơ̆p ling-lang mă đơ̆ng Inh đei pơkă hăm dôm lu adrĕch mă đei tơdrong arih kơpal teh
Vậy Đức Chúa Trời nói với Nô-ê: “Đây là dấu hiệu về giao ước mà Ta đã lập giữa Ta và mọi loài sinh vật trên đất,Kră Yang 'Bok Kei-Dei pơma dơ̆ng hăm 'bok Nôê: “Âu boih tơdra gah tơdrong Inh pơgơ̆p hăm dôm lu adrĕch arih kơpal teh
"Các con trai của Nô-ê đã ra khỏi tàu là: Sem, Cham và Gia-phết","Lu kon drŏ-nglo Nôê lĕch đơ̆ng lăm duk noh, Sem, Cham, Japhet"
Cham là cha của Ca-na-an,Cham âu jơ̆ 'bă Kanaan
"Đó là ba con trai của Nô-ê, do họ mà có loài người tràn ra khắp mặt đất",Noh pêng 'nu kon drŏ-nglo Nôê păng đơ̆ng lu sư boih na mă đei kon bơngai jơ̆p kơpal teh
"Nô-ê là nhà nông, nên bắt đầu trồng một vườn nho",Đơ̆ng noh Nôê pơtơm choh teh păng pơtăm plei hơmu
Ông uống rượu say và nằm trần truồng trong trại mình,Sư huch sik hơmu na suai sư 'bĭch akâu hoh lăm bơsŭn sư
"Cham, cha của Ca-na-an, thấy cha mình trần truồng thì kể lại cho anh và em mình ở bên ngoài",Cham mă 'bă Kanaan 'bôh 'bă sư brao akâu hoh thoi noh na lĕch tơ 'nguaih roi ăn kơ bre 'nhŏng oh sư
Sem và Gia-phết lấy áo vắt lên vai mình rồi đi thụt lùi đến che đắp sự trần truồng của cha mình; mặt họ nhìn về phía trước nên chẳng nhìn thấy sự trần truồng của cha mình,"Mă-lei Sem păng Japhet iŏk ao trăk tơ hơngiĕng măr sư, sư năm kơdŭn wih rŏng na klơ̆p akâu 'bă sư yua kơ măr sư lăng măt tơ nai, na huay kơ 'bôh 'bă sư akâu hoh"
"Khi Nô-ê tỉnh rượu, hay biết được điều đứa con thứ đã làm cho mình",Lăp Nôê praih kơ suai boih băt hloi kơ kon sư mă 'barb đei pơm kiơ kơ sư
Ông tiếp:,Nôê khan dơ̆ng:
"“Chúc tụng CHÚA, Đức Chúa Trời của Sem","“Trŏ bơnê kơkuh kơ Kră Yang, mă Kră Yang 'Bok Kei-Dei Sem,"
Nguyện Ca-na-an phải làm nô lệ cho Sem,Kanaan athei pơm đĭch sư
"Nguyện xin Đức Chúa Trời cho Gia-phết phát triển,",Apinh Kră Yang 'Bok Kei-Dei pơih teh mă să
"Nó sẽ sống trong trại của Sem,",kơ Japhet ăn kơ sư oei hơdai hăm Sem;
Và Ca-na-an sẽ làm nô lệ cho nó,gah Kanaan athei pơm đĭch lu sư
"Sau trận lụt, Nô-ê còn sống được ba trăm năm mươi năm nữa","Đơ̆ng rŏng kơ đak lơ̆p, Nôê arih pêng-hrĕng pơđăm-jĭt sơnăm"
hưởng thọ được chín trăm năm mươi tuổi rồi qua đời,"Thoi noh, Nôê arih đei tơsĭn-hrĕng pơđăm-jĭt sơnăm, na sư lôch"
Con trai của Gô-me là,"Kon drŏ-nglo Gômer anăn Askenas, Riphat păng Tôgah"
"Ách-kê-na, Ri-phát và Tô-ga-ma","Noh boih kon sâu Japhet kiơ̆ adrĕch adrung, kiơ̆ kơ nơ̆r pơma, dêh char păng pơlei pơla sư"
"Cúc sinh Nim-rốt, là người đầu tiên trở thành một người dũng mãnh trên đất","Kus kư̆m pơjing Nimrôt, sư boih bơngai mă nuih blŭng-a kơpal teh âu"
"Nim-rốt là một thợ săn dũng mãnh trước mặt CHÚA, vì thế có câu tục ngữ: “Giống như Nim-rốt, thợ săn dũng mãnh trước mặt CHÚA",Sư âu bơngai chă lua nuih tơpă
"Trước tiên, người lập vương quốc tại Ba-bên, Ê-rết, A-cát và Ca-nê trong xứ Si-nê-a","Teh đak sư 'nao pơjing noh Babel, Êrek, Akat păng Kalneh oei tơ dêh char Sinar"
"Từ xứ đó, người tiến qua A-si-ri rồi xây thành Ni-ni-ve, Rê-hô-bốt, Ca-lách","Đơ̆ng dêh noh sư năm tơ dêh Asiri, na pơjing pơlei tih Niniwe sư kư̆m jing lu pơlei Rôhôbôti, Kalah"
"và Rô-sen, một thành lớn ở khoảng giữa Ni-ni-ve và Ca-lách",Păng Resen mă oei tŏk-bŏk pơlei tih Niniwe păng Kalah
"cùng Giê-bu-sít, A-mô-rít, Ghi-rê-ga-sít","Hăm adrĕch Jêbus, adrĕch Amôrit, adrĕch Girgasit"
"Sau đó, các gia tộc Ca-na-an tản ra",Đơ̆ng noh adrĕch adrung Kanaan tơklah tơklang
"Lãnh thổ của người Ca-na-an về hướng Ghê-na, chạy từ Si-đôn đến Ga-xa, về hướng Sô-đôm, Gô-mô-rơ, Át-ma và Sê-bô-im cho đến Lê-sa","Gah tơring adrĕch adrung Kanaan lu sư năm tơ gah Gêrar, iŏk đơ̆ng Siđôn truh tơ Gasa păng kư̆m truh tơ Sôđôm, Gômôrơ, Atma păng Yibotim truh hloi tơ Lêsa"
"Đó là con cháu của Cham, chia theo gia tộc, ngôn ngữ trong các lãnh thổ và quốc gia","Noh kon sâu Cham, kiơ̆ kơ adrĕch adrung kiơ̆ kơ nơ̆r pơma, dêh char păng kon pơlei pơla sư"
"Ô-phia, Ha-vi-la và Giô-báp","Ôphir, Hawila păng Jôbap"
Tất cả các người đó là con trai của Giốc-tan,Đĭ-đăng lu sư noh kon drŏ-nglo Jôktan
"Lãnh thổ của họ chạy từ Mê-sa cho đến Sê-pha, vùng đồi núi ở phương đông","Anih tehd lu bơngai noh oei gah Sêpha, năm đơ̆ng Mêsa truh tơe kông groi gah hơlĕch"
"Đó là con cháu của Sem, sắp theo gia tộc, ngôn ngữ, lãnh thổ và dân tộc","Noh boih kon sâu Sem, kiơ̆ kơ adrĕch adrung, kiơ̆ kơ nơ̆r pơma, dêh char păng kon pơlei sư"
Trên đây là dòng dõi của ba con trai Nô-ê sắp theo từng thế hệ và dân tộc; do họ mà các dân tộc chia ra trên mặt đất sau trận nước lụt,"Noh lu adrĕch adrung pêng 'nu kon drŏ-nglo Nôê, kiơ̆ kơ chăl păng kon pơlei sư; păng yua kơ lu sư noh na đĭ-đăng adrĕch adrung klah asong băl jơ̆p kơpal teh đơ̆ng rŏng kơ đak lơ̆p"
"Bấy giờ cả thế giới chỉ có một ngôn ngữ, và cùng một thứ tiếng","'Nâu, đĭ-đăng kon bơngai kơpal teh pơma minh nơ̆r pơma đĕch"
"Khi đi về phương đông, người ta gặp một thung lũng bằng phẳng trong xứ Si-na nên định cư ở đấy","Mă-lei iŏk đơ̆ng kon bơngai weh tơ gah hơlĕch, lu sư 'bôh teh dơnă, tơring char Sinar, na oei hloi tơ noh"
"Họ lại nói: “Nào, chúng ta hãy xây một thành và một ngôi tháp ngọn cao tận trời Chúng ta hãy lưu danh mình kẻo bị tản lạc khắp mặt đất","Na khan thoi âu: “'Nâu bơ̆n athei pơjing minh pôm pơlei tih păng pơm hnam Thôt tŏk-bŏk pơlei, kơjung truh tơ plĕnh;a bơ̆n athei pơm ư-ang kơ bơ̆n; hli kơ bơ̆n tơklah tơklang tơ jơ̆p-jang kơpal teh đak âu"
CHÚA ngự xuống quan sát thành và ngôi tháp các con cái loài người đang xây cất,Kră Yang jur lăng pơlei hnam thôt mă kon bơngaib đei pơm
"CHÚA phán: “Kìa, toàn thể loài người chỉ có một dân tộc, một ngôn ngữ",Kră Yang khan thoi âu: “Âu
"Kìa chúng đang khởi công làm việc này, nay không còn gì ngăn cản chúng làm mọi điều chúng hoạch định nữa","Lăp minh adrĕch kon bơngai, lăp minh nơ̆r pơma; păng tơdrong jang lu sư đei pơm; dang ei ưh kơ đei kiơ pơgăn lu sư đơ̆ng tơdrong lu sư pơkă wă pơm"
"Nào, Chúng Ta hãy xuống xáo trộn ngôn ngữ của chúng, làm chúng không thể nào hiểu tiếng nói của nhau được","Bĕ, lu bơ̆n jur pơm bơlŭ lê̆ nơ̆r pơma lu sư ưh pă hlôh băl dơ̆ng kơ nơ̆r pơma bơngai âu pơma kơ bơngai to"
"CHÚA phân tán loài người từ nơi đó ra khắp mặt đất, và họ ngưng xây cất thành này","Đơ̆ng noh, Kră Yang pơm ăn kơ lu sư tơklah tơklang jơ̆p-jang kơ teh păng lu sư ưh pă đei man pơjing pơlei noh dơ̆ng"
Đây là dòng dõi của Sem:,Âu adrĕch adrung Sem:
"Hai năm sau cơn lụt, Sem được một trăm tuổi và sinh A-bác-sát","Đơ̆ng rŏng kơ đak lơ̆p 'bar sơnăm Sem đei minh-hrĕng sơnăm, pơjing Apaksat"
"Sau khi sinh A-bác-sát, Sem còn sống được năm trăm năm, sinh con trai con gái","Đơ̆ng rŏng kơ đei Apaksat boih, Sem oei arih pơđăm-hrĕng sơnăm kư̆m đei pơjing kơ kon drŏ-nglo, kon drŏ-kăn"
A-bác-sát được ba mươi lăm tuổi sinh Sa-lách,Apaksat đei pêng-jĭt pơđăm sơnăm pơjing Sêlah
"Sau khi sinh ra Sa-lách, A-bác-sát còn sống được bốn trăm lẻ ba năm, sinh con trai con gái","Đơ̆ng rŏng Apaksat đei pơjing Sêlah boih, sư arih đei pêng-hrĕng pêng sơnăm pơjing kon drŏ-nglo kon drŏ-kăn"
Sa-lách được ba mươi tuổi sinh Hê-be,"Sêlah đei pêng-jĭt sơnăm, pơjing kơ Eber"
"Sau khi sinh Hê-be, Sa-lách còn sống được bốn trăm lẻ ba năm, sinh con trai con gái","Đơ̆ng rŏng kơ Sêlah pơjing kơ Eber boih sư oei arih đei puăn-hrĕng pêng-jĭt sơnăm, sư đei pơjing kon drŏ-nglo, kon drŏ-kăn"
Hê-be được ba mươi bốn tuổi sinh Bê-léc,"Eber đei pêng-jĭt puăn sơnăm, pơjing kơ Pêlek"
"Sau khi sinh Bê-léc, Hê-be còn sống được bốn trăm ba mươi năm, sinh con trai con gái","Đơ̆ng rŏng kơ Eber pơjing Pêlek boih, oei arih puăn-hrĕng pêng-jĭt sơnăm, kư̆m đei pơjing kon drŏ-nglo kon drŏ-kăn"
Bê-léc được ba mươi tuổi sinh Rê-hu,"Pêlek đei pêng-jĭt sơnăm, pơjing kơ Rêbu"
"Sau khi sinh Rê-hu, Bê-léc còn sống được hai trăm lẻ chín năm, sinh con trai con gái","Đơ̆ng rŏng Pêlek pơjing Rêbu boih, sư oei arih đei 'bar-hrĕng tơsĭn sơnăm, đei pơjing kon drŏ-nglo, kon drŏ-kăn"
Rê-hu được ba mươi hai tuổi sinh Sê-rúc,"Rêbu đe pêng-jĭt 'bar sơnăm, pơjing kơ Sêruk"
"Sau khi sinh Sê-rúc, Rê-hu còn sống được hai trăm lẻ bảy năm, sinh con trai con gái","Đơ̆ng rŏng Rêbu pơjing Sêruk boih, oei arih truh tơ 'bar-hrĕng tơpơh sơnăm, pơjing kon drŏ-nglo kon drŏ-kăn"
Sê-rúc được ba mươi tuổi sinh Na-cô,"Sêruk đei pêng-jĭt 'bar sơnăm, pơjing Nahôr"
"Sau khi sinh Na-cô, Sê-rúc còn sống được hai trăm năm, sinh con trai con gái","Đơ̆ng rŏng kơ Sêruk pơjing Nahôr boih, sư oei arih đei 'bar-hrĕng sơnăm"
Na-cô được hai mươi chín tuổi sinh Tha-rê,"Nahôr đei 'bar-jĭt tơsĭn sơnăm, pơjing Thêra"
"Sau khi sinh Tha-rê, Na-cô còn sống được một trăm mười chín năm, sinh con trai con gái","Đơ̆ng rŏng kơ Nahôr pơjing kơ Thêra boih, sư oei arih minh-hrĕng mơjĭt-tơsĭn sơnăm, đei pơjing kon drŏ-nglo, kon drŏ-kăn"
"Tha-rê được bảy mươi tuổi sinh Áp-ram, Na-cô và Ha-ran","Gah Thêra đei tơpơh-jĭt sơnăm, pơjing Abram, Nahôr păng Haran"
Ha-ran qua đời tại quê hương mình ở thành U-rơ của người Canh-đê khi cha mình là Tha-rê còn sống,"Kơplah 'bă sư Thêra oei arih, Haran sư lôch lăm tơring sư kơdih, lăm, pơlei Ur dêh Kalđê"
"Sa-rai son sẻ, không có con","Sarai âu sư hơwŏng, ưh kơ đei kon"
Tha-rê hưởng thọ được hai trăm lẻ năm tuổi rồi qua đời tại Cha-ran,"Thêra arih đei 'bar-hrĕng pơđăm sơnăm, na sư lôch tơ pơlei Charan"
"CHÚA bảo Áp-ram: “Con hãy rời bỏ quê hương, dân con và nhà cha con để đi đến xứ Ta sẽ chỉ cho","Âu, Kră Yang đei khan kơ Abram thoi âu: “Ih athei lĕch đơ̆ng dêh char âu, tơklah đơ̆ng hnam dơnŏ păng 'nhŏng oh mĕ 'bă ih, na năm tơ dêh char mă Inh gô tơ'bôh kơ ih"
Ta sẽ làm cho con thành một nước lớn,"Inh gô ăn kơ ih jing minh adrĕch adrung tih,"
Ta sẽ ban phước lành cho con,"Inh gô ăn kơ ih pŭn hiôk,"
Và làm nổi danh con,"đe kư̆m gô ư-ang kơ ih,"
Và con sẽ thành một nguồn phước,păng ih gô jing tơm kơ tơdrong pŭn hiôk
Ta sẽ ban phước lành cho ai chúc phước con,Inh gô ăn pŭn hiôk kơ bu mă sơkat kơ ih pŭn hiôk
Và rủa sả kẻ nào nguyền rủa con;,Inh gô hiap pơtê̆ bơngai bu mă hiap pơtê̆ ih;
Tất cả các dân tộc trên thế giới,păng đĭ-đăng adrĕch adrung kon bơngai kơpal teh âu
Sẽ nhờ con mà được phước,gô đei pŭn hiôk đơ̆ng ih
"Áp-ram đem Sa-rai vợ mình, Lót, cháu mình, tất cả tài sản ông tạo được và các tôi tớ ông đã có được ở Cha-ran ra đi, và đến xứ Ca-na-an","Abram chông ba Sarai, akăn sư, Lot mon sư păng đĭ-đăng lu mŭk tơmam sư đei hơmet ba păng lu đĭch đam sư mă đei đơ̆ng Charan, lĕch đơ̆ng noh, lu sư năm truh tơ dêh Kanaan"
"Áp-ram đi qua trong xứ đến tận thành Si-chem, tại cây sồi của Mô-rê","Abram yak găn dêh char âu, truh tơ tơnơm 'long kôih tơ Mamrê, jê̆ pơlei Sichem"
Dân Ca-na-an đang ở tại đó,Kơplah noh lu kon pơlei Kanaan oei oei tơ lăm dêh char noh
"CHÚA hiện ra, nói với Áp-ram: “Ta sẽ ban cho dòng giống con đất nước này",Kră Yang pơdah kơ Abram păng pơkă khan: Inh gô ăn adrĕch adrung ih teh đak âu
"” Tại đây Áp-ram lập một bàn thờ CHÚA, Đấng đã hiện ra với ông","Đơ̆ng noh, Abram pơm minh pôm chơnang soi kơ Kră Yang, Tơ'ngla mă đei pơdah akâu sư kơ Abram"
"Từ đó, Áp-ram đến vùng đồi núi ở phía đông Bê-tên và hạ trại ở đó","Đơ̆ng noh, sư yak găn kông groi gah hơlĕch kơ pơlei Bethel, na pơm bơsŭn; bơmơ̆t kơ noh Bethel, tơ gah hơlĕch đei Ahi"
"Ông lập một bàn thờ tại đó, Bê-tên ở phía tây và A-hi ở phía đông và ông cầu khẩn danh CHÚA",Na sư pơm minh pôm chơnang soi tơ noh kơ Kră Yang wă krao apinh Sư
"Áp-ram tiếp tục di chuyển, tiến xuống phía nam","Đơ̆ng rŏng, Abram yak rah pơm rah bơsŭn 'net 'net dĭng truh tơ gah gơal, anăn Nêgeo"
"Khi sắp vào Ai-cập, Áp-ram nói với Sa-rai, vợ mình: “Anh biết em là người đàn bà đẹp","Kơplah sư wă oei lăm dêh Êyiptơ, Abram đei khan hăm Sarai, akăn sư thoi âu: “Âu, inh băt kơ ih jing minh 'nu bơngai drŏ-kăn 'lơ̆ng hơbŏ"
"Khi người Ai-cập thấy em, họ sẽ nói đấy là vợ nó; rồi họ sẽ giết anh và để em sống","Mưh ba tơ'bơ̆p kon pơlei Êyiptơ, sư 'bôh ih, lu sư gô khan, ‘noh jơ̆ akăn sư’; kơnh hli kơ lu sư pơlôch inh, na gô lê̆ ih arih"
Xin em hãy nói em là em gái anh để vì cớ em mà họ đối xử tốt với anh và để anh khỏi mất mạng vì em,"Na inh apinh khan ih jơ̆ oh drŏ-kăn inh, wă kơ đơ̆ng ih na đe gô sơng iŏk inh hiôk-hian păng huay kơ pơlôch"
"Áp-ram vào Ai-cập, dân Ai-cập thấy người đàn bà này rất đẹp",Abram truh tơ dêh Êyiptơ kon pơlei Êyiptơ 'bôh Sarai bơngai drŏ-kăn 'lơ̆ng hơbŏ tơpă
"Các quan lớn trong triều đình của Pha-ra-ôn cũng thấy Sa-rai và ca tụng trước Pha-ra-ôn, nên nàng bị đem vào cung Pha-ra-ôn","Lu bơngai jang kơ pơtao Pharaôn kư̆m năm tơkan roi 'bơ̆t anăp pơtao lu sư 'bôh bơngai drŏ-kăn 'lơ̆ng noh, na chông ba bơngai drŏ-kăn 'lơ̆ng noh mơ̆t tơ hnam Pharaôn"
"Vì Sa-rai, vua biệt đãi Áp-ram, ban thưởng nhiều chiên, bò, lừa lạc đà và cả nô lệ nam nữ nữa","Yua kơ drŏ-kăn noh, na Pharaôn sơng iŏk Abram hiôk 'lơ̆ng păng ăn kơ Abram đei lơ triu, rơmo aseh tơno, aseh akăn, lăk-đa, đĭch drŏ-nglo, đam drŏ-kăn"
"Nhưng vì cớ Sa-rai, vợ Áp-ram, CHÚA trừng phạt Pha-ra-ôn và hoàng tộc Ai-cập làm cho họ bị bịnh dịch trầm trọng","Na yua kơ Sarai, akăn Abram, na Kră Yang phak Pharaôn hăm hnam dơnŏ sư đei tơdrong jĭ krưp dêh"
Pha-ra-ôn cho gọi Áp-ram vào và nói: “Nhà ngươi làm gì cho ta vậy,Pharaôn năm krao Abram na apinh Abram thoi âu: “Ih pơm kiơ kơ inh thoi noh
Sao không nói cho ta biết rằng Sa-rai là vợ ngươi,Liơ ih ưh kơ roi kơ inh bơngai drŏ-kăn noh akăn ih
"Vua sai quần thần đưa Áp-ram, vợ người và tất cả tài sản đi","Na Pharaôn khan pơkă kơ lu linh sư, ba klo kăn Abram hăm đĭ-đăng mŭk tơmam sư năm tơ nai"
"Vậy, Áp-ram từ Ai-cập đi lên cùng với vợ, Lót và tất cả tài sản mình, đến Nê-ghép","Abram weh đơ̆ng Êyiptơ năm tơ tơring Nêgeo, chông ba akăn sư, mŭk măk lu sem dơrong păng mon sư Lot hai"
"Áp-ram trở nên rất giầu có về gia súc, bạc và vàng","Abram mơdrŏng dêh, đei lơ sem dơrong, đei hu, maih"
"Từ xứ Nê-ghép, ông tiếp tục cuộc hành trình đến Bê-tên, địa điểm ông hạ trại lần trước, giữa hai thành Bê-tên và A-hi","Sư năm dĭng 'bơ̆t yơ, sư pơm bơsŭn tơ noh, đơ̆ng gah Gơal ei yak năm truh tơ Bethel, dĭng truh tơ anih mă sư đei pơm bơsŭn blŭng-a sơ̆, tơ alam bre Bethel hăm Ahi"
là nơi ông đã lập bàn thờ đầu tiên,Noh mă anih sư đei pơm chơnang soi adrol ki
"Tại đây, Áp-ram cầu khẩn danh CHÚA",Tơ noh Abram krao khan anăn Kră Yang
"Lót cùng di chuyển với Áp-ram, ông cũng có các bầy chiên, bầy bò và lều trại","Na Lot kư̆m năm hơdai Abram, kư̆m đei triu rơmo lơ păng tơmam pơm bơsŭn"
